"file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean"
"sample_00079","21.04.22",16,"t2",79,NA,21.224,0.616976744186047,69033.39858,2006.78484244186,80.0740283931649,43.3058439957978,37.3138316119863,17.8092987642236,268.436260490469,152.696812076494,160.858,121.367626411204,0.830666666666667
"sample_00080","21.04.22",16,"t2",80,NA,10.192,0.296279069767442,38316.37122,1113.8480005814,91.5408871906438,36.4118476494064,40.6532527151559,15.8728658405263,267.244690446673,174.434370342815,134.931428571429,169.011428601152,0.577857142857143
"sample_00081","21.04.22",16,"t2",81,NA,20.392,0.592790697674419,75221.60256,2186.67449302326,93.3857199380131,28.6583914463148,42.9832430513904,11.7633774860836,212.308912653845,171.520171176652,104.019,130.471180127234,0.638666666666667
"sample_00082","21.04.22",16,"t2",82,NA,34.944,1.01581395348837,141033.15648,4099.80106046512,95.7113622373498,43.5004060284235,40.8887451892422,16.7275048848828,378.730669655942,209.961152027087,246.2002,240.850825383087,0.5512
"sample_00083","21.04.22",16,"t2",83,NA,41.92,1.21860465116279,165758.67864,4818.56623953488,94.985130574457,50.4591379638402,42.8616363016439,15.8308977561147,238.525893875312,185.429994038392,143.036666666667,158.692203991082,0.571296296296296
"sample_00084","21.04.22",16,"t2",84,NA,29.296,0.851627906976744,132051.14748,3838.69614767442,106.437737085047,54.857885941113,41.7573269580587,15.742786977748,235.716966242458,146.979777161329,165.098372093023,153.7311540123,0.429767441860465
"sample_00085","21.04.22",16,"t2",85,NA,47.4,1.37790697674419,218945.42514,6364.69259127907,102.479467560094,65.6297852984194,43.267201126074,19.3432233446679,260.979513238866,163.07660531855,164.643076923077,157.997255790281,0.538615384615385
"sample_00086","21.04.22",16,"t2",86,NA,44.984,1.30767441860465,213253.75764,6199.23714069767,108.187554127117,42.2328792695385,45.8293476690308,14.9740117744245,284.994359727225,221.963828828572,189.838571428571,232.841867423678,0.547619047619048
"sample_00087","21.04.22",16,"t2",87,NA,34.264,0.996046511627907,125310.37608,3642.74349069767,90.288168598079,56.8677497898706,39.5613421598472,16.4766752416347,365.800564386645,255.995035481604,247.497450980392,272.853823281574,0.610980392156863
"sample_00088","21.04.22",16,"t2",88,NA,30.288,0.88046511627907,139678.17876,4060.41217325581,111.348266952374,43.5001702458067,46.464978138898,11.0446546614847,246.997987480531,144.078633419512,148.17775,143.200490947581,0.5495
"sample_00089","21.04.22",16,"t2",89,NA,39.824,1.15767441860465,154182.05658,4482.03652848837,84.7097341629609,43.0955974404767,42.1367611610643,17.0507717348871,220.415509407693,174.873540187319,117.437121212121,180.42721673223,0.807878787878788
"sample_00090","21.04.22",16,"t2",90,NA,38.232,1.11139534883721,161486.68032,4694.38024186046,98.4932408026831,48.07825197098,39.8414643539654,17.9268380607494,370.484598457302,210.406154735443,239.826206896552,239.042483354984,0.728965517241379
"sample_00091","21.04.22",16,"t2",91,NA,39.576,1.15046511627907,185232.38274,5384.66228895349,100.2268966875,57.8030065796451,44.1235238947506,18.6908031251785,250.603865111688,212.706908665534,180.06875,237.470319518842,0.64515625
"sample_00092","21.04.22",16,"t2",92,NA,29.568,0.85953488372093,103534.67952,3009.72905581395,83.2250112975269,33.7369675727091,41.2382658483024,13.0906243376195,218.071046938827,158.618759771187,110.94347826087,142.306465461262,0.720434782608696
"sample_00093","21.04.22",16,"t2",93,NA,46.656,1.35627906976744,222783.87258,6476.27536569767,96.1531456664591,59.3860864046025,44.0468135884856,21.4292669885675,307.925861116359,228.499835585008,177.31,218.939956206101,0.627246376811594
"sample_00094","21.04.22",16,"t2",94,NA,40.216,1.16906976744186,158917.52394,4619.69546337209,82.6221678781612,41.1243854227216,42.6494074167191,18.9611036266621,223.367388177498,165.879347836374,115.590298507463,168.420832935169,0.778358208955224
"sample_00095","21.04.22",16,"t2",95,NA,29.216,0.849302325581395,156310.70742,4543.91591337209,98.3465098053021,60.6698252752013,43.7128467716544,21.8464951725899,274.455154372997,227.232277327148,159.308863636364,236.782964751168,0.680227272727273
"sample_00096","21.04.22",16,"t2",96,NA,32.96,0.958139534883721,158368.49946,4603.73544941861,91.7869378050063,57.5830082098664,43.9250250513649,20.5008343623313,218.484946310442,145.626788175155,135.549777777778,145.585821323383,0.544222222222222
"sample_00097","21.04.22",16,"t2",97,NA,29.152,0.847441860465116,93881.74266,2729.12042616279,88.3080128455019,47.245174244325,39.021449265272,14.3580707251272,360.945273042074,249.76752978096,263.523913043478,279.007912755003,0.496304347826087
"sample_00098","21.04.22",17,"t2",98,NA,38.824,1.12860465116279,125112.49632,3636.99117209302,87.5060047265144,40.775197139438,40.6993110768506,13.6863791695399,236.122930787995,165.971377360085,136.996981132075,139.477591412011,0.581132075471698
"sample_00099","21.04.22",17,"t2",99,NA,37.864,1.1006976744186,140557.74642,4085.9810005814,93.6515544768872,50.3330526732972,41.1820750544889,14.7379617207827,292.262509221256,213.703287377743,216.354912280702,229.122655074298,0.559473684210526
"sample_00100","21.04.22",17,"t2",100,NA,33.912,0.985813953488372,158356.16478,4603.37688313953,87.9487895444404,65.2374091949215,42.903679899596,22.4469326846086,217.437809845614,174.152737898216,119.180980392157,174.751619417445,0.722941176470588
"sample_00101","21.04.22",17,"t2",101,NA,19.032,0.553255813953488,64941.4341,1887.83238662791,80.0222964975159,43.475671862236,36.3122154215034,19.8534791119513,306.125120878904,185.089223523323,174.972702702703,201.121863661046,0.804324324324324
"sample_00102","21.04.22",17,"t2",102,NA,26.808,0.779302325581395,105317.8281,3061.56477034884,94.919293406714,38.780282859255,47.1926933216489,14.9102724538368,258.508567376472,204.739604330308,147.201891891892,170.780578079298,0.569189189189189
"sample_00103","21.04.22",17,"t2",103,NA,18.608,0.54093023255814,68533.31916,1992.24765,92.1794937577382,37.4732262894148,43.6925477681202,14.6196786326427,284.043261437454,203.887990555007,179.112083333333,218.25425372575,0.543333333333333
"sample_00104","21.04.22",17,"t2",104,NA,19.344,0.562325581395349,58469.27004,1699.68808255814,89.1306068982591,74.3956110126726,34.7421264330639,15.1998645289367,230.75993654362,172.593069824336,159.617037037037,163.442512754481,0.592962962962963
"sample_00105","21.04.22",17,"t2",105,NA,38.68,1.12441860465116,126427.32072,3675.21281162791,72.1517777779705,50.2949559543466,34.231048183349,19.9207374775687,271.306921873392,183.516992404691,176.144242424242,194.952948880261,0.741060606060606
"sample_00106","21.04.22",17,"t2",106,NA,22.624,0.657674418604651,74256.87312,2158.63003255814,78.8545351774733,45.6299514681275,38.2721310766941,18.0175683040211,232.781182822184,146.474684039928,153.12,151.77989291773,0.574571428571429
"sample_00107","21.04.22",17,"t2",107,NA,31.904,0.927441860465116,108890.03016,3165.40785348837,81.880194830071,38.455185599728,37.3969477884691,16.6762950560266,235.652289674712,147.055293023838,125.649818181818,155.187120772537,0.757636363636364
"sample_00108","21.04.22",17,"t2",108,NA,33.456,0.972558139534884,144484.50492,4200.13095697674,90.9526466975702,51.5385201991379,42.4802041845399,17.8092619462585,223.960552730074,153.984016175542,96.9174509803922,124.722352140154,0.695294117647059
"sample_00109","21.04.22",17,"t2",109,NA,40.92,1.18953488372093,140527.82826,4085.11128662791,80.8646780446641,43.6107495512171,35.6161870876951,15.5777709496552,262.180668189999,134.696852103126,135.697123287671,145.045684972389,0.984109589041096
"sample_00110","21.04.22",17,"t2",110,NA,34.568,1.00488372093023,195478.69644,5682.52024534884,104.3682574573,62.6349760864838,46.8485997234575,21.8317385655086,305.759082871874,187.018298891012,195.57,184.268896359056,0.509245283018868
