"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","culture_ID","comment","time","replicate"
"sample_00011",61.7595,7.6036874005384,1647.7678125,635.590026515952,191.172825,51.172858285155,64.246246875,17.73890349578,31.85983125,6.44234036891069,2.04370833333333,0.512335327289318,0.12,1,1.96,48,91.66,87,44.26,292.13,149.05,25.84,0.34,5.94,147.71,645.99,8.62,"sample_00011-107","11.05.2022","t7",11,NA,NA,1
"sample_00011",83.808696,10.0178770344722,2248.71714,241.412116439254,201.0773808,25.8303924501558,80.0112816,14.5505533281364,36.4041216,3.94895389418012,2.264056,0.643831278038467,-0.04,0.67,5,125,287.36,233,46.67,646.19,129.24,14.71,0.12,3.34,83.53,367.69,2.92,"sample_00011-11","11.05.2022","t7",11,NA,NA,1
"sample_00011",83.5531904761905,9.56332270361958,1255.96285714286,412.084111319526,144.347592857143,30.5742472662014,53.74755,12.9488707172225,29.5806214285714,5.58263889445405,1.87521428571429,0.575406729349931,-0.34,1.04,1.72,42,35.28,35,20.51,206.24,119.91,27.61,0.44,5.19,117.02,690.36,11.12,"sample_00011-115","11.05.2022","t7",11,NA,NA,1
"sample_00011",50.8254285714286,2.68527150746122,777.361339285714,543.300778621035,125.157005357143,55.027994774122,49.250025,25.1298265878915,18.692775,3.88187462799869,2.55153571428571,0.892871459461939,-0.08,0.88,1.2,28,172.36,172,143.63,270.74,225.62,25.08,1.31,4.17,75.56,340.04,16.37,"sample_00011-117","11.05.2022","t7",11,NA,NA,1
"sample_00011",55.98325,6.79721681259587,1916.2220625,509.052246281455,213.89315625,44.8569859421587,85.2822675,18.2196695254675,27.9209025,4.36653237053641,3.0344,0.579594146242847,0.03,0.5,1.6,40,237.58,238,148.49,325.04,203.15,22.27,5.43,2.83,70.71,556.67,135.85,"sample_00011-120","11.05.2022","t7",11,NA,NA,1
"sample_00011",80.3566060606061,9.42697772996267,6078.36886363636,2045.80518366891,390.121281818182,98.710461924354,166.556372727273,44.4338881378737,44.3044227272727,10.302585219149,3.73663636363636,0.665353750749452,-0.02,0.11,1.32,33,551.38,551,417.71,555.78,421.05,23.89,3.92,5.79,144.65,597.35,97.94,"sample_00011-127","11.05.2022","t7",11,NA,NA,1
"sample_00011",72.33004,0.903655483167155,1953.47214,45.0370261167624,169.7945328,2.79769199032812,65.1079296,1.18447853839025,38.2045572,0.716867873806693,1.704928,0.0494520256279728,0.04,0.41,5,125,770.09,193,38.69,2098.17,419.63,28.34,0.92,5.82,145.44,708.62,23.01,"sample_00011-15","11.05.2022","t7",11,NA,NA,1
"sample_00011",62.4376914893617,6.84962820908715,602.530132978723,259.270160675272,92.6649047872341,24.3928222653065,32.971954787234,7.81638174502298,22.3456595744681,5.62655412439497,1.51434042553191,0.343417941966248,-0.17,0.82,3.84,94,77.87,55,14.27,453.72,118.16,25.6,0.42,3.61,72.1,360.27,10.6,"sample_00011-16","11.05.2022","t7",11,NA,NA,1
"sample_00011",66.144768,9.51316916186155,2609.3097,312.735850665368,224.6734584,31.1918635203756,89.366976,16.9101711139911,38.0378916,5.88939056780159,2.468,0.837187062381732,-0.01,0.44,5,125,154.51,123,24.54,637.24,127.45,24.68,0.42,2.87,71.87,617.02,10.44,"sample_00011-17","11.05.2022","t7",11,NA,NA,1
"sample_00011",66.0914848484849,9.3243822554138,1353.45477272727,905.431754187773,156.31785,41.4004986145755,64.4529272727273,15.5785439528975,24.1457318181818,12.8166789837306,3.23124242424242,1.22426498434528,0.01,0.08,1.4,33,768.08,768,548.63,770.14,550.1,34.36,6.86,4.96,133.48,859.12,171.42,"sample_00011-19","11.05.2022","t7",11,NA,NA,1
