"","file","date","time","time_point","culture_ID","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"52","sample_00052","21.04.22",15,"t2",52,NA,12.168,0.353720930232558,68505.63174,1991.44278313953,90.0680525429101,41.0797692225161,39.7432202388761,14.4490681183338,263.965424547406,151.660908999596,175.48,134.569061738361,0.446666666666667,0.221395348837209,0.397906976744186,0.222093023255814,0,0.0290697674418605,0,0.0106976744186047,0,0.02,0.0290697674418605,0
"53","sample_00053","21.04.22",15,"t2",53,NA,13.8,0.401162790697674,84704.21586,2462.33185639535,89.637875960425,60.5283359272976,40.8386483455267,19.2308982623442,191.412261781383,104.453680502137,101.767878787879,106.548797088399,0.606363636363636,0.294883720930233,0.336511627906977,0.0290697674418605,0,0.0176744186046512,0,0,0,0.0234883720930233,0.0290697674418605,0
"54","sample_00054","21.04.22",15,"t2",54,NA,11.232,0.326511627906977,65833.7301,1913.77122383721,80.8042919209609,51.0825433484602,36.1092038135087,14.3951841034119,274.44425060644,183.045109682589,183.978863636364,163.940128169585,0.509772727272727,0.383488372093023,0.254883720930233,0.0930232558139535,0,0.072093023255814,0.00651162790697674,0.00930232558139535,0.0409302325581395,0,0.0176744186046512,0
"55","sample_00055","21.04.22",15,"t2",55,NA,4.552,0.132325581395349,24890.85936,723.571493023256,90.9355835332914,40.3976157997197,42.467510443244,14.4218483975163,327.398929703804,204.220361348313,194.55921875,187.21656050668,0.4375,0.287906976744186,0.38,0.364883720930233,0,0.160232558139535,0,0.0602325581395349,0,0,0.116279069767442,0
"56","sample_00056","21.04.22",15,"t2",56,NA,5.368,0.156046511627907,29787.72732,865.922305813954,83.2714172650435,48.3543593440548,38.5561040501797,18.8860663747494,217.879275037889,150.578379737415,117.290666666667,116.838210032841,0.614333333333333,0.235348837209302,0.335116279069767,0.0290697674418605,0,0.0204651162790698,0,0.0290697674418605,0.0202325581395349,0.0444186046511628,0,0
"57","sample_00057","21.04.22",15,"t2",57,NA,8.656,0.251627906976744,51348.09186,1492.67708895349,71.2937634055127,42.7148337036208,32.1450021859089,19.7543038986461,245.403005255728,171.742811698694,137.317142857143,165.663816198586,0.700857142857143,0.155813953488372,0.22906976744186,0.0272093023255814,0,0.0444186046511628,0.0290697674418605,0,0,0.105348837209302,0,0
"58","sample_00058","21.04.22",15,"t2",58,NA,3.264,0.0948837209302326,17635.70556,512.665859302326,77.763011675059,36.4894318183018,39.1600300185622,16.0322066459047,328.106027637151,241.200966478054,212.013125,258.668634674003,0.70375,0.0776744186046512,0.170697674418605,0.178372093023256,0,0.0890697674418605,0.00651162790697674,0.0346511627906977,0,0.0306976744186047,0.0290697674418605,0
"59","sample_00059","21.04.22",15,"t2",59,NA,8.92,0.259302325581395,47794.65426,1389.37948430233,71.5893777127914,39.6084433122875,34.2918010929424,18.2411270134088,268.530113261801,159.909450192049,171.427931034483,179.720794416135,0.700344827586207,0.155813953488372,0.0976744186046512,0.116744186046512,0,0.0502325581395349,0.0290697674418605,0.0165116279069767,0,0.0430232558139535,0,0
"60","sample_00060","21.04.22",15,"t2",60,NA,2.36,0.0686046511627907,19802.4102,575.651459302326,91.7384315167672,38.1871513969328,42.9428676725204,14.5991102427536,296.157661700647,261.618630354534,178.691777777778,265.601926919086,0.685777777777778,0.16046511627907,0.363488372093023,0.0674418604651163,0,0.0588372093023256,0,0.147209302325581,0.00627906976744186,0.0365116279069767,0.0290697674418605,0
"61","sample_00061","21.04.22",15,"t2",61,NA,3.128,0.0909302325581395,111358.5408,3237.16688372093,106.424045894072,42.222917171611,42.0152670836718,13.8786498161551,221.421657714724,162.501707254651,144.878888888889,174.750072647077,0.574166666666667,0.107906976744186,0.536279069767442,0.013953488372093,0.0290697674418605,0.0134883720930233,0,0,0,0.0155813953488372,0.0290697674418605,0
